User_ID,Provider,Billing_Date,Due_Date,Units_Used,Unit_Type,Total_Bill_KSh,Was_Late,Penalty_KSh,Final_Amount_KSh,Paid_On,M-Pesa_Code,Phone_Number,Payment_Time
USER_1,KPLC,2024-08-01,2024-08-15,187.3,kWh,4265.67,False,0.0,4265.67,2024-08-15,GJF799FZ,001-559-785-5783,2024-08-15 01:00:00
USER_1,Nairobi Water,2024-08-01,2024-08-15,37.9,m³,3141.87,True,157.09,3298.96,2024-08-17,QYI983HH,001-559-785-5783,2024-08-17 04:00:00
USER_1,KPLC,2024-09-01,2024-09-15,95.5,kWh,2166.6,False,0.0,2166.6,2024-09-15,OWA395RG,001-559-785-5783,2024-09-15 03:00:00
USER_1,Nairobi Water,2024-09-01,2024-09-15,7.6,m³,744.62,False,0.0,744.62,2024-09-15,UGY934DC,001-559-785-5783,2024-09-15 02:00:00
USER_1,KPLC,2024-10-01,2024-10-15,282.5,kWh,6335.81,True,316.79,6652.6,2024-10-25,OBC981UC,001-559-785-5783,2024-10-25 07:00:00
USER_1,Nairobi Water,2024-10-01,2024-10-15,5.9,m³,618.99,False,0.0,618.99,2024-10-15,HIQ518FY,001-559-785-5783,2024-10-15 01:00:00
USER_1,KPLC,2024-11-01,2024-11-15,379.6,kWh,8422.43,False,0.0,8422.43,2024-11-15,WBA744WE,001-559-785-5783,2024-11-15 04:00:00
USER_1,Nairobi Water,2024-11-01,2024-11-15,13.2,m³,1124.34,False,0.0,1124.34,2024-11-15,HYT725ML,001-559-785-5783,2024-11-15 01:00:00
USER_1,KPLC,2024-12-01,2024-12-15,157.8,kWh,3574.08,True,178.7,3752.78,2024-12-25,YLL335CC,001-559-785-5783,2024-12-25 04:00:00
USER_1,Nairobi Water,2024-12-01,2024-12-15,24.4,m³,2031.12,True,101.56,2132.68,2024-12-25,TOG315QY,001-559-785-5783,2024-12-25 07:00:00
USER_1,KPLC,2025-01-01,2025-01-15,287.0,kWh,6377.95,False,0.0,6377.95,2025-01-15,BJU804FY,001-559-785-5783,2025-01-15 08:00:00
USER_1,Nairobi Water,2025-01-01,2025-01-15,18.1,m³,1534.64,True,76.73,1611.37,2025-01-25,VJV398DE,001-559-785-5783,2025-01-25 05:00:00
USER_1,KPLC,2025-02-01,2025-02-15,221.5,kWh,5001.52,False,0.0,5001.52,2025-02-15,SWT185OV,001-559-785-5783,2025-02-15 03:00:00
USER_1,Nairobi Water,2025-02-01,2025-02-15,14.0,m³,1221.42,True,61.07,1282.49,2025-02-20,FBY677SL,001-559-785-5783,2025-02-20 06:00:00
USER_1,KPLC,2025-03-01,2025-03-15,278.8,kWh,6188.25,True,309.41,6497.66,2025-03-17,YLC072LP,001-559-785-5783,2025-03-17 03:00:00
USER_1,Nairobi Water,2025-03-01,2025-03-15,32.3,m³,2651.05,False,0.0,2651.05,2025-03-15,RJF056NG,001-559-785-5783,2025-03-15 06:00:00
USER_1,KPLC,2025-04-01,2025-04-15,57.3,kWh,1405.49,False,0.0,1405.49,2025-04-15,BSE709HK,001-559-785-5783,2025-04-15 02:00:00
USER_1,Nairobi Water,2025-04-01,2025-04-15,48.5,m³,4010.84,True,200.54,4211.38,2025-04-20,PHQ277PU,001-559-785-5783,2025-04-20 02:00:00
USER_1,KPLC,2025-05-01,2025-05-15,157.9,kWh,3533.57,True,176.68,3710.25,2025-05-17,ESN991XR,001-559-785-5783,2025-05-17 06:00:00
USER_1,Nairobi Water,2025-05-01,2025-05-15,35.8,m³,2958.02,True,147.9,3105.92,2025-05-25,LAZ533QN,001-559-785-5783,2025-05-25 05:00:00
USER_1,KPLC,2025-06-01,2025-06-15,81.3,kWh,1888.12,False,0.0,1888.12,2025-06-15,KYL837FC,001-559-785-5783,2025-06-15 08:00:00
USER_1,Nairobi Water,2025-06-01,2025-06-15,6.5,m³,660.93,True,33.05,693.98,2025-06-25,HPH012ZB,001-559-785-5783,2025-06-25 02:00:00
USER_1,KPLC,2025-07-01,2025-07-15,138.7,kWh,3167.65,True,158.38,3326.03,2025-07-20,NMN519LX,001-559-785-5783,2025-07-20 02:00:00
